,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
log2_umis_per_cell[186],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[187],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[188],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[189],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[190],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[191],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[192],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[193],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[194],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[195],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[196],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[197],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[198],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[199],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[200],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[201],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[202],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[203],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
log2_umis_per_cell[204],13.230620933129869,8.878730367852228e-16,1.7764123531537026e-15,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,13.230620933129867,4.003002251688631,0.9996280000346219
